ROWID,name,rank,station_rowid,designation,kgid,dob,gender,blood_group,is_physically_challenged,appointment_date
59,ASI Rohan Pawar,ASI,10,Investigating Officer,2311800,1973-10-24,Male,B-,0,1997-02-01
60,ASI Rekha Naik,ASI,10,Investigating Officer,1610815,1977-01-14,Female,A+,0,2006-09-04
61,ASI Abdul Hegde,ASI,11,Investigating Officer,1240703,1980-11-19,Male,B-,0,2006-06-18
62,PSI Anand Hegde,PSI,11,Investigating Officer,1260788,1997-05-20,Male,AB-,0,2023-12-24
63,SI Gopal Alva,SI,11,Investigating Officer,2540429,1986-02-20,Male,O-,0,2008-09-23
64,Inspector Hema Pasha,Inspector,11,Station House Officer,1084371,1990-10-01,Female,B+,0,2017-07-16
65,DySP Basavaraj Naik,DySP,11,Sub-Division Officer,1985683,1985-11-27,Male,O-,0,2015-01-05
66,PSI Lokesh Devadiga,PSI,11,Investigating Officer,2706171,1985-12-16,Male,A+,0,2012-07-02
67,SI Umesh Lobo,SI,12,Investigating Officer,1866642,1988-01-22,Male,A+,0,2018-09-07
68,SI Peter Amin,SI,12,Investigating Officer,2945470,1973-04-09,Male,O+,0,2003-06-08
69,DySP Venkatesh Reddy,DySP,12,Sub-Division Officer,2155193,1991-04-23,Male,A+,0,2015-09-23
70,DySP Seetha Salian,DySP,12,Sub-Division Officer,2479355,1992-03-16,Female,O+,0,2018-11-25
71,SI Farhan Sharma,SI,12,Investigating Officer,2811995,1976-07-07,Male,A-,0,2006-09-07
72,DySP Nithin Kattimani,DySP,12,Sub-Division Officer,2522639,1988-05-27,Male,O+,0,2010-10-13
73,PSI Mustafa Moily,PSI,13,Investigating Officer,2599859,1989-08-12,Male,AB+,0,2017-05-14
74,PSI Naveen Baig,PSI,13,Investigating Officer,1667264,1984-04-28,Male,AB-,0,2012-05-13
75,Inspector Madhu Sheikh,Inspector,13,Station House Officer,2053380,1992-03-16,Male,O-,0,2014-05-14
76,SI Irfan Deshpande,SI,13,Investigating Officer,2826478,1986-01-24,Male,B+,0,2010-08-15
77,ASI Krishna Kattimani,ASI,13,Investigating Officer,1796937,1984-11-03,Male,O-,0,2012-07-27
78,SI Mustafa Moily,SI,13,Investigating Officer,2566082,1991-02-08,Male,A-,0,2017-05-28
79,Inspector Sharada Sait,Inspector,13,Station House Officer,1096450,1986-03-23,Female,O-,0,2012-03-30
80,PSI Shankar Poojary,PSI,13,Investigating Officer,1367147,1988-07-19,Male,A-,0,2012-10-08
81,Inspector Ajay Ballal,Inspector,14,Station House Officer,1535458,1976-04-15,Male,A+,0,2002-11-30
82,SI Siddaraju Pasha,SI,14,Investigating Officer,2447692,1974-08-12,Male,O+,0,2001-03-10
83,SI Madhu Devadiga,SI,14,Investigating Officer,1620489,1979-07-19,Male,O+,1,2007-05-02
84,PSI Sudeep Jadhav,PSI,14,Investigating Officer,2626846,1993-12-02,Male,B-,0,2023-04-20
85,PSI Naveen Bangera,PSI,14,Investigating Officer,2894574,1996-12-25,Male,A+,0,2021-02-06
86,PSI Jagadish DSouza,PSI,14,Investigating Officer,1421097,1981-06-24,Male,B+,0,2009-09-14
87,SI Jagadish Rai,SI,14,Investigating Officer,2565648,1980-03-09,Male,O-,0,2009-07-31
88,DySP Anand Pinto,DySP,15,Sub-Division Officer,1767085,1993-12-22,Male,A-,0,2022-09-26
89,SI Pallavi Joshi,SI,15,Investigating Officer,1799068,1993-12-22,Female,O-,0,2020-10-10
90,Inspector Ganesh Bangera,Inspector,15,Station House Officer,2332538,1989-06-20,Male,AB-,0,2014-07-16
91,PSI Bharath Joshi,PSI,15,Investigating Officer,1492411,1973-05-16,Male,B+,0,1996-06-28
92,ASI Sagar Swamy,ASI,15,Investigating Officer,2291116,1995-03-14,Male,AB+,0,2018-11-13
93,SI Shankar Acharya,SI,15,Investigating Officer,2890994,1979-06-04,Male,O-,0,2007-03-02
94,Inspector Venkatesh Devadiga,Inspector,15,Station House Officer,2650027,1974-11-07,Male,O-,0,1996-11-26
95,Inspector Chetan Hegde,Inspector,16,Station House Officer,1689039,1989-04-19,Male,B+,0,2014-08-10
96,DySP Basavaraj Devadiga,DySP,16,Sub-Division Officer,2386338,1976-09-09,Male,A+,0,2000-10-29
97,SI Ajay Kini,SI,16,Investigating Officer,2103281,1977-05-02,Male,A-,0,2001-11-27
98,ASI Jagadish Alva,ASI,16,Investigating Officer,1632564,1986-09-08,Male,AB-,0,2009-05-26
99,SI Meghana Devadiga,SI,16,Investigating Officer,2885899,1993-02-16,Female,A-,0,2022-03-18
100,ASI Asha Bangera,ASI,17,Investigating Officer,1618445,1989-12-11,Female,AB-,0,2018-09-01
101,ASI Umesh Devadiga,ASI,17,Investigating Officer,1946979,1996-09-24,Male,B-,0,2022-04-26
102,ASI Vikram Swamy,ASI,17,Investigating Officer,2999828,1982-07-11,Male,B+,0,2009-01-11
103,PSI Harish Achar,PSI,17,Investigating Officer,2166794,1985-02-24,Male,A+,0,2012-04-24
104,PSI Rakesh Sheikh,PSI,17,Investigating Officer,1603202,1983-11-25,Male,O+,0,2011-12-14
105,SI Arun Sheikh,SI,18,Investigating Officer,1240931,1975-06-28,Male,O+,0,2005-12-25
106,DySP Ganesh Prabhu,DySP,18,Sub-Division Officer,1573089,1998-12-09,Male,O+,0,2021-03-05
107,PSI Praveen Moily,PSI,18,Investigating Officer,1192429,1993-07-03,Male,B-,0,2017-07-12
108,SI Vinod Angadi,SI,18,Investigating Officer,1326274,1982-10-20,Male,B+,0,2005-11-09
109,SI Radha Jadhav,SI,18,Investigating Officer,1572872,1985-08-20,Female,B-,0,2015-03-13
110,PSI Navya Joshi,PSI,18,Investigating Officer,1095247,1993-10-16,Female,B-,0,2024-03-14
111,SI Ramesh Acharya,SI,18,Investigating Officer,1688122,1978-03-25,Male,A-,1,2004-08-13
112,SI Anil Kamath,SI,18,Investigating Officer,1151153,1994-04-17,Male,AB+,0,2024-10-07
113,PSI Abdul Kamat,PSI,19,Investigating Officer,1607157,1982-10-14,Male,A-,0,2011-05-08
114,DySP Sunil Iyer,DySP,19,Sub-Division Officer,2771012,1986-12-12,Male,A-,0,2010-07-17
115,SI Charan Kulkarni,SI,19,Investigating Officer,2633928,1981-12-11,Male,B+,0,2007-05-24
116,PSI Charan Alva,PSI,19,Investigating Officer,1215596,1996-06-12,Male,B+,0,2020-10-04
117,DySP Ravi Naik,DySP,20,Sub-Division Officer,2348451,1992-08-15,Male,O-,0,2022-05-24
118,PSI Arun Suvarna,PSI,20,Investigating Officer,1738076,1986-11-10,Male,A-,0,2012-12-01
119,Inspector Nagaraj Angadi,Inspector,20,Station House Officer,1806318,1974-11-28,Male,AB-,0,1998-08-08
120,Inspector Santhosh Suvarna,Inspector,20,Station House Officer,2051443,1990-11-07,Male,B+,0,2018-07-01
121,PSI Dinesh Sait,PSI,20,Investigating Officer,1921534,1992-03-02,Male,B+,0,2017-10-06
122,ASI Dinesh Pasha,ASI,21,Investigating Officer,1691411,1997-11-21,Male,A-,0,2024-12-17
123,Inspector Mohan DSouza,Inspector,21,Station House Officer,2391695,1991-03-11,Male,B+,0,2014-12-28
124,ASI Sudeep Kamath,ASI,21,Investigating Officer,2705372,1974-05-18,Male,B+,0,2002-10-26
125,ASI Charan Kulkarni,ASI,21,Investigating Officer,1647739,1985-09-12,Male,B+,0,2008-03-10
126,PSI Mustafa Bhat,PSI,21,Investigating Officer,2064702,1976-03-03,Male,A+,0,2002-04-17
127,SI Srinivas Prabhu,SI,21,Investigating Officer,1091629,1977-03-27,Male,AB+,0,2001-10-31
128,ASI Siddaraju Pinto,ASI,22,Investigating Officer,2695807,1986-04-18,Male,AB-,0,2011-09-17
129,DySP Bhagya Karanth,DySP,22,Sub-Division Officer,2106163,1986-05-25,Female,AB+,0,2015-01-30
130,PSI Raghavendra Moily,PSI,22,Investigating Officer,2959355,1992-08-28,Male,A-,0,2020-05-31
131,PSI Venkatesh Chavan,PSI,22,Investigating Officer,2742831,1977-05-15,Male,AB+,0,2007-07-22
132,SI Salman Puthran,SI,22,Investigating Officer,1784254,1972-07-02,Male,B-,0,2001-03-09
133,DySP Ganesh Shinde,DySP,23,Sub-Division Officer,1288567,1998-12-21,Male,A+,0,2026-02-26
134,ASI Raghavendra Pinto,ASI,23,Investigating Officer,1536711,1986-10-01,Male,B-,0,2009-10-04
135,PSI Charan Poojary,PSI,23,Investigating Officer,1500043,1981-04-10,Male,AB+,0,2004-04-28
136,Inspector Shivakumar Joshi,Inspector,23,Station House Officer,2205961,1987-10-18,Male,B-,0,2010-07-02
137,ASI Satish Sharma,ASI,24,Investigating Officer,1756240,1977-11-22,Male,A-,0,2001-08-11
138,PSI Joseph Udupa,PSI,24,Investigating Officer,1531943,1987-01-21,Male,A+,0,2015-07-24
139,ASI Rekha DSouza,ASI,24,Investigating Officer,1092978,1975-10-24,Female,O-,0,2002-12-24
140,Inspector Anil Achar,Inspector,24,Station House Officer,1132331,1986-12-16,Male,AB-,0,2011-02-17
141,PSI Vanitha Puthran,PSI,24,Investigating Officer,1531237,1981-09-13,Female,A+,0,2012-05-05
142,Inspector Swathi Moily,Inspector,24,Station House Officer,1916353,1992-06-09,Female,AB+,0,2015-12-09
143,ASI Praveen Ballal,ASI,25,Investigating Officer,1165521,1983-09-09,Male,AB+,0,2007-04-08
144,SI Sagar Chavan,SI,25,Investigating Officer,1935153,1974-06-22,Male,AB+,0,2000-11-18
145,ASI Salman Rao,ASI,25,Investigating Officer,1157372,1983-10-14,Male,AB+,0,2009-11-05
146,PSI Vinod Reddy,PSI,25,Investigating Officer,1264723,1991-11-26,Male,A-,0,2020-12-05
147,DySP Jagadish Hiremath,DySP,25,Sub-Division Officer,1780168,1973-10-05,Male,AB-,0,2003-04-05
148,SI Charan Angadi,SI,25,Investigating Officer,2542822,1992-05-08,Male,B+,0,2015-05-16
149,Inspector Venkatesh Patil,Inspector,25,Station House Officer,1419804,1994-08-07,Male,A-,0,2021-04-08
150,Inspector Irfan Kulkarni,Inspector,26,Station House Officer,2137015,1982-11-12,Male,O+,0,2006-08-14
151,SI Anil Sequeira,SI,26,Investigating Officer,2657532,1979-02-07,Male,AB-,1,2003-06-02
152,Inspector Shankar Salian,Inspector,26,Station House Officer,1648629,1989-03-20,Male,AB+,0,2012-04-16
153,ASI Charan Swamy,ASI,26,Investigating Officer,2347081,1998-10-03,Male,A-,0,2023-03-08
154,DySP Praveen Lobo,DySP,27,Sub-Division Officer,2086538,1985-09-28,Male,B+,0,2007-11-25
155,SI Spandana Murthy,SI,27,Investigating Officer,1411674,1988-05-28,Female,O+,0,2011-09-28
156,SI Gagan Kulkarni,SI,27,Investigating Officer,2381462,1977-10-19,Male,O-,0,2002-01-08
157,PSI Ganesh Kulkarni,PSI,27,Investigating Officer,1873645,1992-10-09,Male,A+,0,2018-07-22
158,DySP Hanumantha Khan,DySP,27,Sub-Division Officer,1951150,1987-04-26,Male,A-,0,2015-09-18
159,SI Soumya Kotian,SI,27,Investigating Officer,2539728,1982-10-05,Female,O-,0,2010-03-10
160,ASI Deepa Alva,ASI,27,Investigating Officer,1942871,1982-04-15,Female,B-,0,2005-08-23
161,ASI Pooja Moily,ASI,27,Investigating Officer,2512315,1979-03-27,Female,O-,0,2007-01-09
162,SI Thomas Salian,SI,28,Investigating Officer,2059993,1981-08-01,Male,AB-,0,2005-02-12
163,PSI Swathi Shetty,PSI,28,Investigating Officer,2125522,1987-10-27,Female,A+,0,2017-03-14
164,SI Krishna DSouza,SI,28,Investigating Officer,2195967,1984-06-02,Male,B-,0,2012-06-21
165,SI Madhu Alva,SI,28,Investigating Officer,1202755,1989-05-27,Male,AB+,0,2012-07-25
166,PSI Jagadish Pinto,PSI,28,Investigating Officer,1095008,1991-09-13,Male,A+,0,2021-09-25
167,PSI Wilson Salian,PSI,29,Investigating Officer,1824085,1988-03-11,Male,O+,0,2015-05-27
168,SI Thomas Adiga,SI,29,Investigating Officer,1694659,1990-05-16,Male,A-,0,2012-11-14
169,SI Ganesh Prabhu,SI,29,Investigating Officer,2223737,1992-10-19,Male,AB-,0,2017-11-08
170,Inspector Murali Pai,Inspector,29,Station House Officer,1039714,1979-01-19,Male,AB-,0,2002-04-20
171,SI Nandini Acharya,SI,29,Investigating Officer,2087757,1996-10-16,Female,B-,0,2018-12-20
172,SI Riyaz Rai,SI,29,Investigating Officer,1742993,1977-08-18,Male,O+,0,2005-05-17
173,PSI Basavaraj Udupa,PSI,30,Investigating Officer,1664882,1981-05-23,Male,AB-,0,2007-01-22
174,PSI Basavaraj Chavan,PSI,30,Investigating Officer,2621233,1993-09-13,Male,B+,0,2022-03-01
175,DySP Kiran Biradar,DySP,30,Sub-Division Officer,1423767,1992-05-24,Male,O+,0,2021-09-03
176,ASI Raghavendra Deshpande,ASI,30,Investigating Officer,1473267,1990-04-08,Male,B-,0,2012-12-29
177,ASI Farhan Deshpande,ASI,30,Investigating Officer,2369215,1976-01-18,Male,AB-,0,2000-08-07
178,PSI Siddaraju Shinde,PSI,31,Investigating Officer,2549137,1973-02-21,Male,A+,0,1998-11-15
179,Inspector Anitha Madiwal,Inspector,31,Station House Officer,2964210,1998-07-26,Female,O+,0,2027-10-22
180,PSI Sandhya Prabhu,PSI,31,Investigating Officer,2035809,1982-05-15,Female,B+,0,2013-01-30
181,PSI Naveen Iyer,PSI,31,Investigating Officer,1029536,1977-12-15,Male,O-,0,2004-03-13
182,ASI Naveen Naik,ASI,31,Investigating Officer,1687712,1992-07-27,Male,A-,0,2021-04-09
183,SI Savitha Kotian,SI,32,Investigating Officer,1936872,1979-01-09,Female,O+,0,2007-05-02
184,ASI Suresh Patil,ASI,32,Investigating Officer,1643419,1994-04-02,Male,B+,0,2017-11-20
185,PSI Puneeth Baig,PSI,32,Investigating Officer,1280114,1981-06-20,Male,AB-,0,2006-10-04
186,ASI Shankar Swamy,ASI,32,Investigating Officer,2426780,1987-09-26,Male,A-,0,2013-01-23
187,ASI Ravi Kamat,ASI,33,Investigating Officer,2125457,1973-09-17,Male,B+,0,1999-07-01
188,ASI Irfan Joshi,ASI,33,Investigating Officer,1934244,1994-10-16,Male,A+,0,2018-06-28
189,PSI Abdul Karanth,PSI,33,Investigating Officer,1830364,1986-11-26,Male,O+,0,2012-11-30
190,SI Ravi Rao,SI,33,Investigating Officer,2958269,1994-02-18,Male,AB-,0,2016-03-19
191,ASI Raghavendra Lobo,ASI,33,Investigating Officer,1940650,1995-11-14,Male,AB+,0,2023-05-21
192,ASI Sagar Kamath,ASI,33,Investigating Officer,2109063,1983-02-06,Male,B+,0,2013-08-18
193,PSI Ramesh Pinto,PSI,33,Investigating Officer,2115545,1981-08-22,Male,AB+,0,2012-03-19
194,PSI Rajesh Pai,PSI,33,Investigating Officer,1504713,1995-02-02,Male,B-,0,2023-02-03
195,ASI Uma Pasha,ASI,34,Investigating Officer,1920571,1973-04-24,Female,B-,0,1995-11-10
196,SI Nagaraj Kamath,SI,34,Investigating Officer,2253924,1981-04-27,Male,O-,0,2009-02-09
197,SI Wilson Murthy,SI,34,Investigating Officer,2165703,1980-01-18,Male,AB-,0,2004-08-17
198,SI Murali Sequeira,SI,34,Investigating Officer,1789494,1994-07-14,Male,B+,0,2018-12-08
199,Inspector Karthik Pawar,Inspector,34,Station House Officer,1873480,1976-08-02,Male,B+,0,2007-02-22
200,PSI Rakesh Khan,PSI,34,Investigating Officer,1108080,1986-06-03,Male,O+,0,2016-08-31
201,PSI Santhosh Moily,PSI,34,Investigating Officer,2005362,1997-10-24,Male,B-,0,2028-02-05
202,DySP Suresh Acharya,DySP,34,Sub-Division Officer,2458834,1995-02-24,Male,B-,0,2024-06-20
203,SI Siddaraju Hiremath,SI,35,Investigating Officer,2075454,1992-06-10,Male,AB-,0,2018-12-05
204,Inspector Farhan Pinto,Inspector,35,Station House Officer,2179699,1978-06-11,Male,B-,0,2006-06-27
205,ASI Vidya Madiwal,ASI,35,Investigating Officer,1691777,1995-07-10,Female,B-,0,2019-10-12
206,ASI Peter Udupa,ASI,35,Investigating Officer,1966428,1993-06-09,Male,B+,0,2023-02-08
207,SI Raghavendra DSouza,SI,35,Investigating Officer,1070933,1977-09-21,Male,A-,0,2000-06-10
208,Inspector Bharath Kamath,Inspector,36,Station House Officer,1458688,1979-02-23,Male,AB-,0,2003-02-21
209,SI Riyaz Sheikh,SI,36,Investigating Officer,1035077,1972-09-18,Male,O+,0,2000-09-17
210,ASI Joseph Iyengar,ASI,36,Investigating Officer,1312260,1985-03-04,Male,B-,0,2008-11-21
211,Inspector Satish Jadhav,Inspector,36,Station House Officer,1510043,1974-06-13,Male,B-,0,2004-03-21
212,SI Prakash Kulkarni,SI,37,Investigating Officer,2473973,1984-09-16,Male,B+,0,2006-09-15
213,DySP Rakesh Karanth,DySP,37,Sub-Division Officer,2890106,1975-09-02,Male,AB-,0,2000-12-12
214,SI Basavaraj Shanbhag,SI,37,Investigating Officer,1434442,1993-01-06,Male,B+,0,2020-01-08
215,PSI Sudeep Madiwal,PSI,37,Investigating Officer,1695687,1977-10-08,Male,AB+,0,2006-07-04
216,ASI Kiran Alva,ASI,38,Investigating Officer,2758828,1983-01-04,Male,A-,0,2011-04-25
217,SI Sudeep Lobo,SI,38,Investigating Officer,1478440,1992-05-26,Male,O-,0,2022-01-25
218,ASI Praveen Pasha,ASI,38,Investigating Officer,2495496,1984-02-25,Male,A-,0,2010-06-24
219,ASI Spandana Sequeira,ASI,38,Investigating Officer,1191932,1995-07-11,Female,A+,0,2022-08-27
220,PSI Gopal Deshpande,PSI,38,Investigating Officer,2074666,1977-07-15,Male,AB+,0,2008-04-17
221,ASI Harish Prabhu,ASI,39,Investigating Officer,1813274,1982-07-01,Male,A-,0,2009-01-21
222,SI Sanjay Karanth,SI,39,Investigating Officer,1631518,1993-07-06,Male,O+,0,2017-11-14
223,SI Navya Jadhav,SI,39,Investigating Officer,2511835,1987-02-12,Female,AB-,0,2013-06-11
224,SI Geetha Kamath,SI,39,Investigating Officer,1923214,1984-06-27,Female,O-,0,2012-12-05
225,DySP Priya Prabhu,DySP,40,Sub-Division Officer,1669280,1978-08-11,Female,O+,0,2003-02-24
226,SI Sanjay Shinde,SI,40,Investigating Officer,1419011,1998-07-12,Male,B+,0,2022-04-20
227,PSI Syed Sait,PSI,40,Investigating Officer,2411336,1997-05-27,Male,AB-,0,2020-12-16
228,PSI Mohan Sheikh,PSI,40,Investigating Officer,2221054,1985-07-03,Male,AB+,0,2015-02-26
229,PSI Nithin Adiga,PSI,40,Investigating Officer,1229364,1983-12-26,Male,B-,0,2014-01-30
230,DySP Santhosh Karanth,DySP,40,Sub-Division Officer,1222181,1993-11-13,Male,A+,0,2021-06-14
231,ASI Wilson Udupa,ASI,40,Investigating Officer,1971113,1990-04-15,Male,B+,0,2017-10-25
232,SI Geetha Chavan,SI,40,Investigating Officer,1654081,1974-02-27,Female,O-,0,1998-08-18
233,PSI Rajesh Kotian,PSI,41,Investigating Officer,1629699,1995-12-15,Male,A+,0,2023-01-11
234,PSI Shruthi Khan,PSI,41,Investigating Officer,1365854,1997-03-24,Female,B+,0,2022-12-07
235,Inspector Syed Murthy,Inspector,41,Station House Officer,1061220,1992-03-06,Male,B-,0,2020-09-17
236,PSI Ramesh Sait,PSI,41,Investigating Officer,1213389,1980-12-26,Male,B+,0,2004-10-11
237,ASI Seetha Patil,ASI,41,Investigating Officer,2282006,1987-09-21,Female,AB+,0,2015-03-31
238,PSI Abdul Bangera,PSI,42,Investigating Officer,2409517,1993-12-26,Male,B+,0,2020-02-01
239,SI Umesh Naik,SI,42,Investigating Officer,2205455,1976-09-13,Male,AB+,0,2004-11-15
240,Inspector Gagan Baig,Inspector,42,Station House Officer,1294223,1977-09-06,Male,B+,0,2007-01-24
241,SI Manjunath Moily,SI,42,Investigating Officer,2177722,1972-08-05,Male,AB-,0,1998-02-11
242,PSI Irfan Ballal,PSI,42,Investigating Officer,1068566,1990-01-26,Male,O+,0,2015-06-18
243,ASI Abdul Karanth,ASI,42,Investigating Officer,2201068,1996-08-18,Male,A-,0,2026-10-07
244,Inspector Jagadish Adiga,Inspector,43,Station House Officer,1891614,1973-12-15,Male,A-,0,2004-03-28
245,Inspector Sanjay Pawar,Inspector,43,Station House Officer,1920796,1973-08-09,Male,A-,0,2000-09-15
246,ASI Rajesh Moily,ASI,43,Investigating Officer,2706095,1992-07-06,Male,B-,0,2016-10-13
247,ASI Gagan Jadhav,ASI,43,Investigating Officer,2201113,1977-06-23,Male,O+,0,2003-11-12
248,DySP Girish Kamath,DySP,43,Sub-Division Officer,2470998,1997-07-02,Male,B+,0,2023-08-29
249,Inspector Sanjay Pinto,Inspector,43,Station House Officer,1786793,1984-08-05,Male,AB-,0,2011-02-27
250,SI Harish Kumar,SI,43,Investigating Officer,1686375,1980-12-12,Male,A+,0,2010-08-11
251,DySP Harish DSouza,DySP,43,Sub-Division Officer,2668657,1992-11-23,Male,AB+,0,2019-12-19
252,SI Peter Jadhav,SI,44,Investigating Officer,2787659,1981-06-18,Male,AB-,0,2006-03-28
253,PSI Manjunath Rao,PSI,44,Investigating Officer,1925443,1997-08-01,Male,AB-,1,2020-10-14
254,Inspector Pavan Baig,Inspector,44,Station House Officer,2372770,1992-05-06,Male,O-,0,2018-06-16
255,SI Sunil Shetty,SI,44,Investigating Officer,2374652,1981-12-23,Male,A-,0,2007-07-24
